RecordId,RecordTimeSeconds,RecordTimeNanoSeconds,OrientationX,OrientationY,OrientationZ,OrientationW,AngularAccelerationX,AngularAccelerationY,AngularAccelerationZ,LinearAccelerationX,LinearAccelerationY,LinearAccelerationZ,Roll,Pitch,Yaw,DeltaT,Velocityx,Velocityy,Velocityz
1,1515079474,914044593,-3.33455E-05,0.002538674,-0.145003602,-0.989427924,-0.01042328,0.032329254,0.004552992,0.027441381,-0.117536798,-9.383097649,-0.038402862,-0.288390407,16.67512717,10239957,0.000280999,-0.001203572,-0.096082519
2,1515079474,924261415,3.47653E-05,0.00241253,-0.145032331,-0.98942405,-0.008865937,0.024280826,0.004855718,0.072929427,-0.32968387,-9.90123558,-0.044037173,-0.272955033,16.67845785,10216822,0.001026106,-0.004571893,-0.19724168
3,1515079474,934462068,0.000101051,0.002355929,-0.145062029,-0.989419818,-0.011609407,0.011666568,0.005101506,0.107176289,-0.140299097,-10.02827549,-0.050619988,-0.265434436,16.68190738,10200653,0.002119374,-0.006003036,-0.299536639
4,1515079474,944709302,0.000177167,0.002281401,-0.145083219,-0.989416838,-0.012354997,0.021892693,0.004814228,0.015226889,-0.048843298,-10.13783073,-0.058016552,-0.255717926,16.68437037,10247234,0.002275407,-0.006503544,-0.403421363
5,1515079474,954925270,0.000275409,0.002102605,-0.14511238,-0.989412963,-0.014841335,0.045569547,0.005107097,0.071972832,-0.059000283,-9.694503784,-0.066189508,-0.233810881,16.68774762,10215968,0.003010679,-0.007106289,-0.502460103
6,1515079474,965207267,0.000389436,0.001851118,-0.145146117,-0.989408433,-0.01499439,0.055765711,0.004804046,0.367832005,-0.18235606,-10.08391476,-0.074942702,-0.203398914,16.69164441,10281997,0.006792727,-0.008981274,-0.606142884
7,1515079474,975474163,0.000495071,0.001662499,-0.145167306,-0.989405632,-0.014495632,0.034935452,0.004157207,0.562285602,-0.111405067,-10.35933113,-0.083785986,-0.180254814,16.69409284,10266896,0.012565655,-0.010125058,-0.71250106
8,1515079474,985702969,0.000581345,0.001599549,-0.145195797,-0.989401519,-0.01409858,0.010383797,0.003556143,0.411738813,0.071706817,-9.886381149,-0.092525315,-0.171679887,16.69739869,10228806,0.016777251,-0.009391583,-0.813626934
9,1515079474,995964251,0.0006545,0.001608915,-0.145218551,-0.989398122,-0.013385742,0.000618794,0.004178334,0.209101737,0.205483168,-9.745323181,-0.100979163,-0.171522294,16.70004764,10261282,0.018922903,-0.007283062,-0.913626444
10,1515079475,6190136,0.000729769,0.001569111,-0.14524056,-0.989394844,-0.012076897,0.01710186,0.00700224,0.17190443,0.030830361,-10.11717701,-0.108854275,-0.165754488,16.70260189,10225885,0.020680778,-0.006967794,-1.017083532
11,1515079475,16423723,0.000813831,0.001425993,-0.1452692,-0.98939085,-0.012359318,0.036999427,0.006006645,0.087969728,0.021108985,-10.22671604,-0.116007233,-0.148125809,16.70590993,10233587,0.021581024,-0.006751774,-1.121739521
12,1515079475,26671624,0.000910596,0.001213595,-0.145293638,-0.989387453,-0.013077789,0.046612989,0.004451492,0.108379669,0.041036557,-9.975363731,-0.1234453,-0.122431074,16.70871883,10247901,0.022691688,-0.006331235,-1.223966061
